year,county,agency_name,agency_code,less_than_high_school,high_school_or_higher,bachelors_or_higher,per_capita_income,median_income,poverty_rate,employment_rate,unemployment_rate
2009,Alameda,All Combined,All Combined,14.1,85.7,39.9,33831,68863,23.4,61.6,7.7
2009,Alameda,Alameda Police Department,101,9,91.1,45.4,38809,73503,17.9,62.4,7
2009,Alameda,Albany Police Department,102,6.2,94.8,69.8,35982,72516,18.9,65.4,5.1
2009,Alameda,Berkeley Police Department,103,2.7,93.6,67.4,36798,59097,24.5,56.3,6.7
2009,Alameda,Dublin Police Department,130,17.1,91,43.1,40092,108711,22.4,61.2,6
2009,Alameda,Emeryville Police Department,104,0,95.9,69.4,49376,57211,19.6,66.1,4.6
2009,Alameda,Fremont Police Department,105,12.5,91,49,37545,95028,19.8,64.1,5.9
2009,Alameda,Hayward Police Department,106,17,79.6,22.9,24803,61001,26,61.3,9.2
2009,Alameda,Livermore Police Department,107,11.1,91.3,36.2,40195,94530,26.5,67.3,6.6
2009,Alameda,Newark Police Department,108,7.1,83.8,30,29718,82782,20.4,63.2,7.7
2009,Alameda,Oakland Police Department,109,23.2,78.8,36.3,30503,49695,25.2,59.9,9.4
2009,Alameda,Piedmont Police Department,110,18.7,98.7,83.1,73642,167014,26.2,63.9,4.4
2009,Alameda,Pleasanton Police Department,111,8.6,95.7,55.7,49817,113582,23.7,65.8,5.7
2009,Alameda,San Leandro Police Department,112,13.2,83.3,26.4,28069,61824,15.4,60.2,9
2009,Alameda,Union City Police Department,113,18.3,84.1,36.9,30153,86761,21.2,61.9,7.2
2009,Alpine,All Combined,All Combined,35.2,91.2,26.8,30436,54605,27.4,58.5,15.2
2009,Amador,All Combined,All Combined,28.1,87.3,19.5,26532,57347,22.9,44.9,10.4
2009,Amador,Ione Police Department,302,53.8,74.1,9.8,15756,63750,35.2,23.6,5.4
2009,Amador,Jackson Police Department,303,30.8,85.1,16.2,27706,47614,30.7,50.1,4.7
2009,Amador,Plymouth Police Department,304,0,88.4,7.5,22116,32857,21.2,51.3,11.4
2009,Amador,Sutter Creek Police Department,305,10.5,95.6,29.1,27303,53343,12,57.5,10.7
2009,Butte,All Combined,All Combined,9.2,85.9,24.8,22904,42002,21.7,51.6,10.6
2009,Butte,Biggs Police Department,401,12.7,74.6,9.6,19385,52283,17.4,53.2,8.8
2009,Butte,Chico Police Department,402,4.7,91.3,35.5,22037,38341,22,57,11
2009,Butte,Gridley Police Department,403,22.3,66.5,6.6,15111,32748,15.7,46.7,16
2009,Butte,Oroville Police Department,404,19.1,81.5,11.8,17466,39025,16.3,47.1,14.1
2009,Calaveras,All Combined,All Combined,13.6,89.4,19.3,27728,57676,30.9,50.6,8.2
2009,Colusa,All Combined,All Combined,24.4,68,12.9,20381,47150,15.5,55.2,12.9
2009,Colusa,Colusa Police Department,601,33.8,73.5,11.7,21442,49184,16,52.7,10.8
2009,Colusa,Williams Police Department,602,10.6,47.6,11.7,15350,42473,16.2,59.8,17.6
2009,Contra Costa,All Combined,All Combined,16.9,88.1,37.7,37742,77838,24.9,61,7.2
2009,Contra Costa,Antioch Police Department,701,16.1,84.4,21.5,25980,68934,26.3,59.9,8.9
2009,Contra Costa,Brentwood Police Department,702,15.4,89.2,28.4,32895,90036,19.7,60.3,5.8
2009,Contra Costa,Clayton Police Department,703,15.5,97.9,54.7,52040,130083,22.4,64.3,5
2009,Contra Costa,Concord Police Department,704,20.8,85.8,29.4,30484,64954,26.4,64.2,6.7
2009,Contra Costa,El Cerrito Police Department,705,10.9,92.8,56.6,40473,76656,23.9,61.1,6.2
2009,Contra Costa,Hercules Police Department,706,7.6,93,40.7,37416,88179,22.7,67,7.1
2009,Contra Costa,Lafayette Police Department,715,1.4,96.9,69.7,63813,125519,29.8,60.6,4.4
2009,Contra Costa,Martinez Police Department,714,19.3,91.8,34.6,37727,76703,20.2,62.9,7.1
2009,Contra Costa,Oakley Police Department,734,16.4,82.3,13.1,26639,76130,25.9,62.8,7.3
2009,Contra Costa,Orinda Police Department,726,8.1,99,78.5,80838,160867,19.3,59.1,2.7
2009,Contra Costa,Pinole Police Department,707,7.9,90.3,32.3,30405,78835,22.3,60.8,5.6
2009,Contra Costa,Pittsburg Police Department,708,28,76.5,16,22131,57661,24.6,59.6,8.2
2009,Contra Costa,Pleasant Hill Police Department,709,1.2,94.4,46.2,41216,79597,22.1,64,7.1
